"","Compounds","Receptor_genes"
"2024","D-Glucose","Itgav"
"2025","D-Glucose","Trpv4"
"2026","D-Glucose","Cdh1"
"2027","D-Glucose","Neo1"
"2028","D-Glucose","Itga2b"
"2029","D-Glucose","Grik2"
"2030","D-Glucose","Grik5"
"2031","D-Glucose","Scarf1"
"2032","D-Glucose","Lifr"
"2033","D-Glucose","Selp"
"2034","D-Glucose","Kdr"
"2035","D-Glucose","Cdh15"
"2036","D-Glucose","Cdh3"
"2037","D-Glucose","Nectin1"
"2038","D-Glucose","Fcer2a"
"2039","D-Glucose","Cd80"
"2040","D-Glucose","Gria2"
"2041","D-Glucose","Scarb2"
"2042","D-Glucose","Npr3"
"2043","D-Glucose","Nrp1"
"2044","D-Glucose","Nrxn2"
"2045","D-Glucose","Abcb1b"
"2046","D-Glucose","Abcb1a"
"2047","D-Glucose","Lgr5"
"2048","D-Glucose","Itgb7"
"2049","D-Glucose","Igf1r"
"2050","D-Glucose","Itgax"
"2051","D-Glucose","Cdh2"
"2052","D-Glucose","Erbb2"
"2053","D-Glucose","Il22ra1"
"2054","D-Glucose","Fcgr3"
"2055","D-Glucose","Fcgr2b"
"2056","D-Glucose","Gfra3"
"2057","D-Glucose","Egfr"
"2058","D-Glucose","Nlgn4l"
"2059","D-Glucose","Lrrc4c"
"2060","D-Glucose","Gria4"
"2061","D-Glucose","Cxadr"
"2062","D-Glucose","Csf1r"
"2063","D-Glucose","Pparg"
"2064","D-Glucose","Kit"
"2065","D-Glucose","Itga5"
"2066","D-Glucose","Fcgr4"
"2067","D-Glucose","Fcgr4"
"2068","D-Glucose","Plxnb1"
"2069","D-Glucose","Mst1r"
"2070","D-Glucose","Erap1"
"2071","D-Glucose","Tlr3"
"2072","D-Glucose","Tshr"
"2073","D-Glucose","Folr2"
"2074","D-Glucose","Gabrb3"
"2075","D-Glucose","Anpep"
"2076","D-Glucose","Itgb2l"
"2077","D-Glucose","Itgb2"
"2078","D-Glucose","Itgb1"
"2079","D-Glucose","Insr"
"2080","D-Glucose","Ctla4"
"2081","D-Glucose","Nlgn2"
"2082","D-Glucose","Cd36"
"2083","D-Glucose","Cd46"
"2084","D-Glucose","Cd209c"
"2085","D-Glucose","Cd209a"
"2086","D-Glucose","Cd209d"
"2087","D-Glucose","Cd209e"
"2088","D-Glucose","Cd209b"
"2089","D-Glucose","Cd209a"
"2090","D-Glucose","Cd209b"
"2091","D-Glucose","Cd276"
"2092","D-Glucose","Il17ra"
"2093","D-Glucose","Siglece"
"2094","D-Glucose","Ifnlr1"
"2095","D-Glucose","Il3ra"
"2096","D-Glucose","Gp1ba"
"2097","D-Glucose","Ptprm"
"2098","D-Glucose","Sele"
"2099","D-Glucose","F3"
"2100","D-Glucose","Il21r"
"2101","D-Glucose","Nrxn3"
"2102","D-Glucose","Colec11"
"2103","D-Glucose","Plaur"
"2104","D-Glucose","H2-Aa"
"2105","D-Glucose","Acvr2b"
"2106","D-Glucose","4931406B18Rik"
"2107","D-Glucose","Siglec1"
"2108","D-Glucose","Lingo1"
"2109","D-Glucose","Htr3a"
"2110","D-Glucose","Jaml"
"2111","D-Glucose","Igf2r"
"2112","D-Glucose","Enpp3"
"2113","D-Glucose","Epha2"
"2114","D-Glucose","Fcgr2b"
"2115","D-Glucose","Nlgn3"
"2116","D-Glucose","H2-Eb2"
"2117","D-Glucose","H2-Eb1"
"2118","D-Glucose","Tfrc"
"2119","D-Glucose","Dpp4"
"2120","D-Glucose","Enpp1"
"2121","D-Glucose","Nlgn1"
"2122","D-Glucose","Fzd5"
"2123","D-Glucose","Plxna2"
"2124","D-Glucose","Fcer1a"
"2125","D-Glucose","Cd1d2"
"2126","D-Glucose","Cd1d1"
"2127","D-Glucose","Il6ra"
"2128","D-Glucose","Fcgr1"
"2129","D-Glucose","Vtcn1"
"2130","D-Glucose","Cd2"
"2131","D-Glucose","Amigo1"
"2132","D-Glucose","Ntng1"
"2133","D-Glucose","Grin1"
"2134","D-Glucose","Dpp7"
"2135","D-Glucose","Tlr4"
"2136","D-Glucose","Il2rg"
"2137","D-Glucose","Fzd8"
"2138","D-Glucose","Gabbr1"
"2139","D-Glucose","Dpp6"
"2140","D-Glucose","Cubn"
"2141","D-Glucose","Il2ra"
"2142","D-Glucose","Zp3"
"2143","D-Glucose","Itga4"
"2144","D-Glucose","H2-Ab1"
"2145","D-Glucose","Colec12"
"2146","D-Glucose","Csf2rb2"
"2147","D-Glucose","Csf2rb"
"2148","D-Glucose","Fshr"
"2149","D-Glucose","Nrxn1"
"2150","D-Glucose","Cd207"
"2151","D-Glucose","Dcc"
"2152","D-Glucose","Csf2ra"
"2153","D-Glucose","Clec2f"
"2154","D-Glucose","Pvr"
"2155","D-Glucose","Nectin3"
"2156","D-Glucose","Igll1"
"2157","D-Glucose","Ntrk1"
"2158","D-Glucose","Ldlr"
"2159","D-Glucose","Dscam"
"2160","D-Glucose","Hnf4a"
"2161","D-Glucose","Klrg1"
"2162","D-Glucose","Ncor1"
"2163","D-Glucose","Nr2f1"
"2164","D-Glucose","Ppara"
"2165","D-Glucose","Tas1r1"
"2166","D-Glucose","Tas1r2"
"2167","D-Glucose","Tas1r3"
"2168","Uridine diphosphategalactose","P2ry14"
"2169","Uridine diphosphategalactose","Gpr17"
"2170","D-Maltose","Sell"
"2171","D-Maltose","Avpr1a"
"2172","D-Maltose","Crhr2"
"2173","D-Maltose","Cd207"
"2174","Xanthine","Adora2a"
"2175","Xanthine","Adora2b"
"2176","Glucosamine","Tlr4"
"2177","NAD","Trpc7"
"2178","NAD","Trpm2"
"2179","NAD","Cd38"
"2180","NAD","Tnfrsf21"
"2181","Pyroglutamic acid","Sort1"
"2182","Pyroglutamic acid","Epcam"
"2183","Pyroglutamic acid","Sirpb1c"
"2184","Pyroglutamic acid","Sirpb1b"
"2185","Pyroglutamic acid","Sirpb1a"
"2186","Pyroglutamic acid","F3"
"2187","Pyroglutamic acid","Sirpa"
"2188","Pyroglutamic acid","Cd47"
"2189","Pyroglutamic acid","Msln"
"2190","Pyroglutamic acid","Igll1"
"2191","Leukotriene D4","Cysltr1"
"2192","Leukotriene D4","Cysltr2"
"2193","L-Glutamine,D-Glutamine","Gprc6a"
"2194","L-Glutamine,D-Glutamine","Ar"
"2195","L-Glutamine,D-Glutamine","Pvr"
"2196","N-Arachidonoylglycine","Gpr18"
"2197","N-Arachidonoylglycine","Lpar5"
"2198","N-Arachidonoylglycine","Cnr1"
"2199","Guanosine monophosphate","Pde6a"
"2200","Guanosine monophosphate","Pde6g"
"2201","Guanosine monophosphate","Enpp3"
"2202","Guanosine monophosphate","Enpp1"
"2203","Guanosine monophosphate","Pde6b"
"2204","Guanosine monophosphate","Pde10a"
"2205","L-Glutamic acid","Grm3"
"2206","L-Glutamic acid","Grm5"
"2207","L-Glutamic acid","Grm6"
"2208","L-Glutamic acid","Grm7"
"2209","L-Glutamic acid","Grm8"
"2210","L-Glutamic acid","Gria3"
"2211","L-Glutamic acid","Gria1"
"2212","L-Glutamic acid","Gria2"
"2213","L-Glutamic acid","Gria4"
"2214","L-Glutamic acid","Grik2"
"2215","L-Glutamic acid","Grik5"
"2216","L-Glutamic acid","Grik3"
"2217","L-Glutamic acid","Grm1"
"2218","L-Glutamic acid","Grm2"
"2219","L-Glutamic acid","Grm4"
"2220","L-Glutamic acid","Grin3b"
"2221","L-Glutamic acid","Grin2d"
"2222","L-Glutamic acid","Enpep"
"2223","L-Glutamic acid","Grid2"
"2224","L-Glutamic acid","Grin2c"
"2225","L-Glutamic acid","Gprc6a"
"2226","L-Glutamic acid","Grid1"
"2227","L-Glutamic acid","Tas1r1"
"2228","L-Glutamic acid","Grin2a"
"2229","L-Glutamic acid","Tas1r3"
"2230","L-Glutamic acid","Pglyrp4"
"2231","L-Glutamic acid","Grin3a"
"2232","L-Glutamic acid","Grin1"
"2233","L-Glutamic acid","Unc13b"
"2234","L-Glutamic acid","Grik1"
"2235","L-Glutamic acid","Pvr"
"2236","L-Glutamic acid","Grik4"
"2237","L-Glutamic acid","Casr"
"2238","L-Glutamic acid","Igll1"
"2239","L-Glutamic acid","Fcnb"
"2240","Sarcosine","Fcgrt"
"2241","Oxidized glutathione","Abcb7"
"2242","Oxidized glutathione","Abcb6"
"2243","Oxidized glutathione","Ide"
"2244","Oxidized glutathione","Abcc1"
"2245","Oxidized glutathione","Abcc4"
"2246","Oxidized glutathione","Ar"
"2247","15-HETE","Ltb4r2"
"2248","15-HETE","Ppara"
"2249","15-HETE","Pparg"
"2250","Quinolinic acid","Ager"
"2251","Quinolinic acid","Ntrk1"
"2252","L-Lactic acid,D-Lactic acid","Hcar1"
"2253","L-Lactic acid,D-Lactic acid","Sell"
"2254","L-Lactic acid,D-Lactic acid","Tlr2"
"2255","L-Lactic acid,D-Lactic acid","Thbs1"
"2256","L-Lactic acid,D-Lactic acid","Adra2a"
"2257","L-Lactic acid,D-Lactic acid","Asic3"
"2258","L-Lactic acid,D-Lactic acid","Tlr1"
"2259","L-Lactic acid,D-Lactic acid","Tlr4"
"2260","L-Lactic acid,D-Lactic acid","Tlr6"
"2261","L-Lactic acid,D-Lactic acid","Adra2c"
"2262","Glutathione","Hrg"
"2263","Glutathione","Lancl1"
"2264","Glutathione","Klrk1"
"2265","Glutathione","Trem1"
"2266","Glutathione","Abcb7"
"2267","Glutathione","Abcb6"
"2268","Glutathione","Itgb7"
"2269","Glutathione","St14"
"2270","Glutathione","Pparg"
"2271","Glutathione","Cd79b"
"2272","Glutathione","Abcc1"
"2273","Glutathione","Abcc4"
"2274","Glutathione","Ar"
"2275","Oxalic acid","Amfr"
"2276","Hyaluronic acid","C1qbp"
"2277","Hyaluronic acid","Stab2"
"2278","Hyaluronic acid","Layn"
"2279","Hyaluronic acid","Abcb1b"
"2280","Hyaluronic acid","Abcb1a"
"2281","Hyaluronic acid","Abcc5"
"2282","Hyaluronic acid","Cd44"
"2283","Hyaluronic acid","Plaur"
"2284","Hyaluronic acid","Tlr4"
"2285","Histamine","Hrh4"
"2286","Histamine","Hrh3"
"2287","Histamine","Hrh1"
"2288","Histamine","Htr7"
"2289","Histamine","Taar1"
"2290","Histamine","Hrh2"
"2291","Histamine","Drd4"
"2292","Histamine","Bdkrb1"
"2293","Histamine","Prokr2"
"2294","Histamine","Gnrhr"
"2295","Histamine","Kiss1r"
"2296","Histamine","Oprd1"
"2297","Histamine","Ghsr"
"2298","Histamine","Mc3r"
"2299","Histamine","Ptger2"
"2300","Histamine","Mchr1"
"2301","Histamine","Galr3"
"2302","Histamine","Sstr4"
"2303","Histamine","Nmur2"
"2304","Histamine","Aplnr"
"2305","Histamine","Nmbr"
"2306","Histamine","Htr2b"
"2307","Histamine","Icam1"
"2308","Histamine","Oprk1"
"2309","Histamine","Sstr1"
"2310","Histamine","Gpr65"
"2311","Histamine","Ackr3"
"2312","Histamine","Agtr1a"
"2313","Histamine","Agtr1b"
"2314","Histamine","Htr2c"
"2315","Histamine","Npffr1"
"2316","Histamine","Adra2a"
"2317","Histamine","Htr5a"
"2318","Histamine","Htr6"
"2319","Histamine","Ptgir"
"2320","Histamine","Ccr2"
"2321","Histamine","Ccr5"
"2322","Histamine","Ptger1"
"2323","Histamine","Sstr5"
"2324","Histamine","Vcam1"
"2325","Histamine","Cckar"
"2326","Histamine","Ccr1"
"2327","Histamine","Ccr1l1"
"2328","Histamine","Tlr3"
"2329","Histamine","Avpr1a"
"2330","Histamine","Galr1"
"2331","Histamine","Mc4r"
"2332","Histamine","Ptger4"
"2333","Histamine","Ptgdr"
"2334","Histamine","Ntsr2"
"2335","Histamine","Prokr1"
"2336","Histamine","Cxcr6"
"2337","Histamine","Adora2b"
"2338","Histamine","Adrb2"
"2339","Histamine","Nmur1"
"2340","Histamine","Drd5"
"2341","Histamine","Adra1b"
"2342","Histamine","Ltb4r1"
"2343","Histamine","Npffr2"
"2344","Histamine","Adora1"
"2345","Histamine","Olr1"
"2346","Histamine","Trhr"
"2347","Histamine","Ednra"
"2348","Histamine","Htr1a"
"2349","Histamine","Mc5r"
"2350","Histamine","Htr1f"
"2351","Histamine","Uts2r"
"2352","Histamine","Trpm8"
"2353","Histamine","Oxtr"
"2354","Histamine","Rxfp3"
"2355","Histamine","Galr2"
"2356","Histamine","Npbwr1"
"2357","Histamine","Cd86"
"2358","Histamine","Ccr9"
"2359","Histamine","Npy2r"
"2360","Histamine","Ccr4"
"2361","Histamine","Mc2r"
"2362","Histamine","F3"
"2363","Histamine","Cckbr"
"2364","Histamine","Adora2a"
"2365","Histamine","Oprl1"
"2366","Histamine","Avpr2"
"2367","Histamine","Npy5r"
"2368","Histamine","Adrb3"
"2369","Histamine","Fbln5"
"2370","Histamine","Ptger3"
"2371","Histamine","Sstr2"
"2372","Histamine","Lpar1"
"2373","Histamine","Npsr1"
"2374","Histamine","Htr4"
"2375","Histamine","Npy1r"
"2376","Histamine","Drd2"
"2377","Histamine","Tlr1"
"2378","Histamine","Rxfp4"
"2379","Histamine","Adrb1"
"2380","Histamine","Cnr1"
"2381","Histamine","Htr1b"
"2382","Histamine","Ntsr1"
"2383","Histamine","Lpar3"
"2384","Histamine","Ptgfr"
"2385","Histamine","Hcrtr2"
"2386","Histamine","Agtr2"
"2387","Histamine","Hcrtr1"
"2388","Histamine","Tlr4"
"2389","Histamine","Npy4r"
"2390","Histamine","Cnr2"
"2391","Histamine","Ednrb"
"2392","Histamine","Htr2a"
"2393","Histamine","Adra1a"
"2394","Histamine","Adra1d"
"2395","Histamine","Grpr"
"2396","Histamine","Drd3"
"2397","Histamine","Qrfprl"
"2398","Histamine","Qrfpr"
"2399","Histamine","Itga4"
"2400","Histamine","Trpv1"
"2401","Histamine","Lpar2"
"2402","Histamine","Adra2c"
"2403","Histamine","Cxcr4"
"2404","Histamine","Fgfr1"
"2405","Histamine","Tbxa2r"
"2406","Histamine","Oprm1"
"2407","Histamine","Ltb4r2"
"2408","Histamine","Ccr3"
"2409","Histamine","Mc1r"
"2410","Histamine","Cd40"
"2411","Histamine","Ptprc"
"2412","N-Acetyl-D-glucosamine","M6pr"
"2413","N-Acetyl-D-glucosamine","Cd74"
"2414","N-Acetyl-D-glucosamine","Cd4"
"2415","N-Acetyl-D-glucosamine","Rtn4r"
"2416","N-Acetyl-D-glucosamine","Il4ra"
"2417","N-Acetyl-D-glucosamine","Ngfr"
"2418","N-Acetyl-D-glucosamine","Fap"
"2419","N-Acetyl-D-glucosamine","Pilra"
"2420","N-Acetyl-D-glucosamine","Pilrb2"
"2421","N-Acetyl-D-glucosamine","Tgfbr3"
"2422","N-Acetyl-D-glucosamine","Madcam1"
"2423","N-Acetyl-D-glucosamine","Il2rb"
"2424","N-Acetyl-D-glucosamine","Procr"
"2425","N-Acetyl-D-glucosamine","Lbp"
"2426","N-Acetyl-D-glucosamine","Tlr8"
"2427","N-Acetyl-D-glucosamine","Fcgrt"
"2428","N-Acetyl-D-glucosamine","Icam5"
"2429","N-Acetyl-D-glucosamine","Efnb3"
"2430","N-Acetyl-D-glucosamine","Vtn"
"2431","N-Acetyl-D-glucosamine","Cd38"
"2432","N-Acetyl-D-glucosamine","Il10ra"
"2433","N-Acetyl-D-glucosamine","Clec4a4"
"2434","N-Acetyl-D-glucosamine","Clec4a2"
"2435","N-Acetyl-D-glucosamine","Clec4a3"
"2436","N-Acetyl-D-glucosamine","Clec4a1"
"2437","N-Acetyl-D-glucosamine","H2-Oa"
"2438","N-Acetyl-D-glucosamine","Hrg"
"2439","N-Acetyl-D-glucosamine","Il1rl1"
"2440","N-Acetyl-D-glucosamine","Sell"
"2441","N-Acetyl-D-glucosamine","Acvr2a"
"2442","N-Acetyl-D-glucosamine","Flt3"
"2443","N-Acetyl-D-glucosamine","Il13ra2"
"2444","N-Acetyl-D-glucosamine","Efnb2"
"2445","N-Acetyl-D-glucosamine","Lrrc4"
"2446","N-Acetyl-D-glucosamine","Nectin2"
"2447","N-Acetyl-D-glucosamine","Ace2"
"2448","N-Acetyl-D-glucosamine","Cd180"
"2449","N-Acetyl-D-glucosamine","Sort1"
"2450","N-Acetyl-D-glucosamine","Plxnc1"
"2451","N-Acetyl-D-glucosamine","Il1rn"
"2452","N-Acetyl-D-glucosamine","Gabbr2"
"2453","N-Acetyl-D-glucosamine","Enpp2"
"2454","N-Acetyl-D-glucosamine","Chrna1"
"2455","N-Acetyl-D-glucosamine","Itgav"
"2456","N-Acetyl-D-glucosamine","Lrp6"
"2457","N-Acetyl-D-glucosamine","Pdgfrb"
"2458","N-Acetyl-D-glucosamine","Neo1"
"2459","N-Acetyl-D-glucosamine","Flt4"
"2460","N-Acetyl-D-glucosamine","Itga2b"
"2461","N-Acetyl-D-glucosamine","Grik2"
"2462","N-Acetyl-D-glucosamine","Grik5"
"2463","N-Acetyl-D-glucosamine","Lifr"
"2464","N-Acetyl-D-glucosamine","Selp"
"2465","N-Acetyl-D-glucosamine","Kdr"
"2466","N-Acetyl-D-glucosamine","Nectin1"
"2467","N-Acetyl-D-glucosamine","Gpc1"
"2468","N-Acetyl-D-glucosamine","Fcer2a"
"2469","N-Acetyl-D-glucosamine","Cd80"
"2470","N-Acetyl-D-glucosamine","Gria2"
"2471","N-Acetyl-D-glucosamine","Icam1"
"2472","N-Acetyl-D-glucosamine","Scarb2"
"2473","N-Acetyl-D-glucosamine","Npr3"
"2474","N-Acetyl-D-glucosamine","Enpep"
"2475","N-Acetyl-D-glucosamine","Nrp1"
"2476","N-Acetyl-D-glucosamine","Nrxn2"
"2477","N-Acetyl-D-glucosamine","Lamp3"
"2478","N-Acetyl-D-glucosamine","Adam22"
"2479","N-Acetyl-D-glucosamine","Lgr5"
"2480","N-Acetyl-D-glucosamine","Itgb7"
"2481","N-Acetyl-D-glucosamine","Erbb3"
"2482","N-Acetyl-D-glucosamine","Igf1r"
"2483","N-Acetyl-D-glucosamine","Itgax"
"2484","N-Acetyl-D-glucosamine","Cdh2"
"2485","N-Acetyl-D-glucosamine","Erbb2"
"2486","N-Acetyl-D-glucosamine","Ifnar1"
"2487","N-Acetyl-D-glucosamine","Il22ra1"
"2488","N-Acetyl-D-glucosamine","Fcgr3"
"2489","N-Acetyl-D-glucosamine","Fcgr2b"
"2490","N-Acetyl-D-glucosamine","Gfra3"
"2491","N-Acetyl-D-glucosamine","Egfr"
"2492","N-Acetyl-D-glucosamine","Nlgn4l"
"2493","N-Acetyl-D-glucosamine","Tnfrsf10b"
"2494","N-Acetyl-D-glucosamine","Notch1"
"2495","N-Acetyl-D-glucosamine","Lrrc4c"
"2496","N-Acetyl-D-glucosamine","Sirpb1c"
"2497","N-Acetyl-D-glucosamine","Sirpb1b"
"2498","N-Acetyl-D-glucosamine","Sirpb1a"
"2499","N-Acetyl-D-glucosamine","Epha4"
"2500","N-Acetyl-D-glucosamine","Gria4"
"2501","N-Acetyl-D-glucosamine","Grm1"
"2502","N-Acetyl-D-glucosamine","Cd8a"
"2503","N-Acetyl-D-glucosamine","Cxadr"
"2504","N-Acetyl-D-glucosamine","Csf1r"
"2505","N-Acetyl-D-glucosamine","Kit"
"2506","N-Acetyl-D-glucosamine","Cd1d2"
"2507","N-Acetyl-D-glucosamine","Cd1d1"
"2508","N-Acetyl-D-glucosamine","Nptn"
"2509","N-Acetyl-D-glucosamine","Itga5"
"2510","N-Acetyl-D-glucosamine","Fcgr4"
"2511","N-Acetyl-D-glucosamine","Fcgr4"
"2512","N-Acetyl-D-glucosamine","Plxnb1"
"2513","N-Acetyl-D-glucosamine","Mst1r"
"2514","N-Acetyl-D-glucosamine","Hhip"
"2515","N-Acetyl-D-glucosamine","Itga2"
"2516","N-Acetyl-D-glucosamine","Erap1"
"2517","N-Acetyl-D-glucosamine","Tlr3"
"2518","N-Acetyl-D-glucosamine","Tnfrsf11b"
"2519","N-Acetyl-D-glucosamine","Tshr"
"2520","N-Acetyl-D-glucosamine","Folr1"
"2521","N-Acetyl-D-glucosamine","Folr2"
"2522","N-Acetyl-D-glucosamine","Gabrb3"
"2523","N-Acetyl-D-glucosamine","Anpep"
"2524","N-Acetyl-D-glucosamine","Axl"
"2525","N-Acetyl-D-glucosamine","Itgb2l"
"2526","N-Acetyl-D-glucosamine","Itgb2"
"2527","N-Acetyl-D-glucosamine","Itgb1"
"2528","N-Acetyl-D-glucosamine","Lrp8"
"2529","N-Acetyl-D-glucosamine","Insr"
"2530","N-Acetyl-D-glucosamine","Ctla4"
"2531","N-Acetyl-D-glucosamine","Cd14"
"2532","N-Acetyl-D-glucosamine","Ptcra"
"2533","N-Acetyl-D-glucosamine","Nlgn2"
"2534","N-Acetyl-D-glucosamine","Sirpb1c"
"2535","N-Acetyl-D-glucosamine","Sirpb1b"
"2536","N-Acetyl-D-glucosamine","Sirpb1a"
"2537","N-Acetyl-D-glucosamine","Grm5"
"2538","N-Acetyl-D-glucosamine","Il7r"
"2539","N-Acetyl-D-glucosamine","Rgmb"
"2540","N-Acetyl-D-glucosamine","Cd200r1l"
"2541","N-Acetyl-D-glucosamine","Cd200r2"
"2542","N-Acetyl-D-glucosamine","Cd200r1"
"2543","N-Acetyl-D-glucosamine","Cd200r3"
"2544","N-Acetyl-D-glucosamine","Cd200r4"
"2545","N-Acetyl-D-glucosamine","Hcrtr2"
"2546","N-Acetyl-D-glucosamine","Cd46"
"2547","N-Acetyl-D-glucosamine","Il1rap"
"2548","N-Acetyl-D-glucosamine","Il20ra"
"2549","N-Acetyl-D-glucosamine","Cd209c"
"2550","N-Acetyl-D-glucosamine","Cd209a"
"2551","N-Acetyl-D-glucosamine","Cd209d"
"2552","N-Acetyl-D-glucosamine","Cd209e"
"2553","N-Acetyl-D-glucosamine","Cd209b"
"2554","N-Acetyl-D-glucosamine","Cd209a"
"2555","N-Acetyl-D-glucosamine","Cd209b"
"2556","N-Acetyl-D-glucosamine","Met"
"2557","N-Acetyl-D-glucosamine","Cd276"
"2558","N-Acetyl-D-glucosamine","Il17ra"
"2559","N-Acetyl-D-glucosamine","F2r"
"2560","N-Acetyl-D-glucosamine","Adgrl2"
"2561","N-Acetyl-D-glucosamine","Siglece"
"2562","N-Acetyl-D-glucosamine","Cd28"
"2563","N-Acetyl-D-glucosamine","Cntn1"
"2564","N-Acetyl-D-glucosamine","F3"
"2565","N-Acetyl-D-glucosamine","Ifnlr1"
"2566","N-Acetyl-D-glucosamine","Il3ra"
"2567","N-Acetyl-D-glucosamine","Il20rb"
"2568","N-Acetyl-D-glucosamine","Gp1ba"
"2569","N-Acetyl-D-glucosamine","Lepr"
"2570","N-Acetyl-D-glucosamine","Rtn4rl1"
"2571","N-Acetyl-D-glucosamine","Il1r2"
"2572","N-Acetyl-D-glucosamine","Cd8b1"
"2573","N-Acetyl-D-glucosamine","Ptprm"
"2574","N-Acetyl-D-glucosamine","Sele"
"2575","N-Acetyl-D-glucosamine","Ephb3"
"2576","N-Acetyl-D-glucosamine","Btla"
"2577","N-Acetyl-D-glucosamine","Rtn4rl2"
"2578","N-Acetyl-D-glucosamine","Epha3"
"2579","N-Acetyl-D-glucosamine","Il21r"
"2580","N-Acetyl-D-glucosamine","Nrxn3"
"2581","N-Acetyl-D-glucosamine","Plaur"
"2582","N-Acetyl-D-glucosamine","H2-Aa"
"2583","N-Acetyl-D-glucosamine","Fgfr3"
"2584","N-Acetyl-D-glucosamine","Cd59a"
"2585","N-Acetyl-D-glucosamine","Cd59b"
"2586","N-Acetyl-D-glucosamine","Acvr2b"
"2587","N-Acetyl-D-glucosamine","Adgrl1"
"2588","N-Acetyl-D-glucosamine","Npr2"
"2589","N-Acetyl-D-glucosamine","Ncr3-ps"
"2590","N-Acetyl-D-glucosamine","Erbb4"
"2591","N-Acetyl-D-glucosamine","Ifnar2"
"2592","N-Acetyl-D-glucosamine","Nfasc"
"2593","N-Acetyl-D-glucosamine","Lingo1"
"2594","N-Acetyl-D-glucosamine","Htr3a"
"2595","N-Acetyl-D-glucosamine","Ret"
"2596","N-Acetyl-D-glucosamine","Tnfrsf14"
"2597","N-Acetyl-D-glucosamine","Fas"
"2598","N-Acetyl-D-glucosamine","Sirpa"
"2599","N-Acetyl-D-glucosamine","Jaml"
"2600","N-Acetyl-D-glucosamine","Pigr"
"2601","N-Acetyl-D-glucosamine","Itgal"
"2602","N-Acetyl-D-glucosamine","Igf2r"
"2603","N-Acetyl-D-glucosamine","Enpp3"
"2604","N-Acetyl-D-glucosamine","Epha2"
"2605","N-Acetyl-D-glucosamine","Fcgr2b"
"2606","N-Acetyl-D-glucosamine","Pglyrp4"
"2607","N-Acetyl-D-glucosamine","H2-Eb2"
"2608","N-Acetyl-D-glucosamine","H2-Eb1"
"2609","N-Acetyl-D-glucosamine","Tfrc"
"2610","N-Acetyl-D-glucosamine","Nrp2"
"2611","N-Acetyl-D-glucosamine","Dpp4"
"2612","N-Acetyl-D-glucosamine","Enpp1"
"2613","N-Acetyl-D-glucosamine","Nlgn1"
"2614","N-Acetyl-D-glucosamine","Fzd5"
"2615","N-Acetyl-D-glucosamine","Grm3"
"2616","N-Acetyl-D-glucosamine","Cd47"
"2617","N-Acetyl-D-glucosamine","Plxna2"
"2618","N-Acetyl-D-glucosamine","Cr2"
"2619","N-Acetyl-D-glucosamine","Nectin4"
"2620","N-Acetyl-D-glucosamine","Fcer1a"
"2621","N-Acetyl-D-glucosamine","Cadm3"
"2622","N-Acetyl-D-glucosamine","Il6ra"
"2623","N-Acetyl-D-glucosamine","Npr1"
"2624","N-Acetyl-D-glucosamine","Fcgr1"
"2625","N-Acetyl-D-glucosamine","Vtcn1"
"2626","N-Acetyl-D-glucosamine","Cd2"
"2627","N-Acetyl-D-glucosamine","Tpbg"
"2628","N-Acetyl-D-glucosamine","Amigo1"
"2629","N-Acetyl-D-glucosamine","Ntng1"
"2630","N-Acetyl-D-glucosamine","Ntng2"
"2631","N-Acetyl-D-glucosamine","Adgrb3"
"2632","N-Acetyl-D-glucosamine","Cd40lg"
"2633","N-Acetyl-D-glucosamine","Grin1"
"2634","N-Acetyl-D-glucosamine","Dpp7"
"2635","N-Acetyl-D-glucosamine","Il13ra1"
"2636","N-Acetyl-D-glucosamine","Fcnb"
"2637","N-Acetyl-D-glucosamine","Cd40"
"2638","N-Acetyl-D-glucosamine","Fibcd1"
"2639","N-Acetyl-D-glucosamine","Csf3r"
"2640","N-Acetyl-D-glucosamine","Tlr4"
"2641","N-Acetyl-D-glucosamine","Il2rg"
"2642","N-Acetyl-D-glucosamine","Ephb2"
"2643","N-Acetyl-D-glucosamine","Fzd8"
"2644","N-Acetyl-D-glucosamine","Ddr1"
"2645","N-Acetyl-D-glucosamine","Gabbr1"
"2646","N-Acetyl-D-glucosamine","Thbd"
"2647","N-Acetyl-D-glucosamine","Dpp6"
"2648","N-Acetyl-D-glucosamine","Cubn"
"2649","N-Acetyl-D-glucosamine","Lrp4"
"2650","N-Acetyl-D-glucosamine","Lgr4"
"2651","N-Acetyl-D-glucosamine","Tnfrsf4"
"2652","N-Acetyl-D-glucosamine","Agrn"
"2653","N-Acetyl-D-glucosamine","Il2ra"
"2654","N-Acetyl-D-glucosamine","Il15ra"
"2655","N-Acetyl-D-glucosamine","Tek"
"2656","N-Acetyl-D-glucosamine","Crlf2"
"2657","N-Acetyl-D-glucosamine","Tigit"
"2658","N-Acetyl-D-glucosamine","Acvrl1"
"2659","N-Acetyl-D-glucosamine","Lrrc4b"
"2660","N-Acetyl-D-glucosamine","Kir3dl1"
"2661","N-Acetyl-D-glucosamine","Kir3dl2"
"2662","N-Acetyl-D-glucosamine","Ptprz1"
"2663","N-Acetyl-D-glucosamine","Zp3"
"2664","N-Acetyl-D-glucosamine","Itga4"
"2665","N-Acetyl-D-glucosamine","Cntn4"
"2666","N-Acetyl-D-glucosamine","Ephb1"
